Date,Open,High,Low,Close,Volume,Stock,MA_5,MA_10,MA_20,RSI,MACD,Close_Lag1,Close_Lag2,Close_Lag3
2020-02-05,1453.4608141204703,1480.891036122429,1453.4608141204703,1470.0955810546875,44626,SIEMENS.BO,1454.2076416015625,1489.145703125,1497.4472045898438,47.679316875143,-4.018396864049464,1450.3204345703125,1409.8372802734375,1465.67919921875
2020-02-06,1470.0956941262425,1492.471777907862,1468.1820021372096,1483.541015625,11428,SIEMENS.BO,1455.8947021484375,1482.82421875,1497.9056030273437,50.049613968178214,-3.3924286716560346,1470.0955810546875,1450.3204345703125,1409.8372802734375
2020-02-07,1485.1603932340338,1485.2093916090244,1460.821498711217,1479.026611328125,6675,SIEMENS.BO,1458.5641845703126,1472.0414184570313,1498.0650268554687,49.24296631473453,-3.2234610155810515,1483.541015625,1470.0955810546875,1450.3204345703125
2020-02-10,1473.1380258340273,1473.2851407439612,1442.9598220294563,1447.3270263671875,9018,SIEMENS.BO,1466.0621337890625,1464.5454711914062,1497.1425231933595,43.89338244655337,-5.583086170633351,1479.026611328125,1483.541015625,1470.0955810546875
2020-02-11,1455.423591974581,1492.962332630702,1433.538212900651,1468.083740234375,101179,SIEMENS.BO,1469.614794921875,1464.1949340820313,1496.7743408203125,47.88567720759523,-5.7123641896519075,1447.3270263671875,1479.026611328125,1483.541015625
2020-02-12,1465.237797148275,1465.237797148275,1383.1923557087648,1397.4227294921875,42042,SIEMENS.BO,1455.080224609375,1454.6439331054687,1493.0049743652344,37.9784580614831,-11.385328005187148,1468.083740234375,1447.3270263671875,1479.026611328125
2020-02-13,1397.520704900181,1422.693766838276,1386.7252500168229,1393.9876708984375,13498,SIEMENS.BO,1437.1695556640625,1446.53212890625,1487.7036193847657,37.57150556048057,-15.974232215661232,1397.4227294921875,1468.083740234375,1447.3270263671875
2020-02-14,1391.63239182104,1411.6530792459691,1367.1463831996475,1371.8570556640625,9529,SIEMENS.BO,1415.73564453125,1437.1499145507812,1478.7169006347656,34.971553501706026,-21.152890208767076,1393.9876708984375,1397.4227294921875,1468.083740234375
2020-02-17,1373.9670790205207,1381.3767351168358,1348.9903682542092,1357.037841796875,10273,SIEMENS.BO,1397.6778076171875,1431.869970703125,1468.820733642578,33.309331524233116,-26.151344270163918,1371.8570556640625,1393.9876708984375,1397.4227294921875
2020-02-18,1349.431728993592,1373.5252670568748,1337.6548702678297,1369.943115234375,10962,SIEMENS.BO,1378.0496826171875,1423.8322387695312,1460.0435913085937,36.155272328901624,-28.740010462624014,1357.037841796875,1371.8570556640625,1393.9876708984375
2020-02-19,1369.94313099266,1398.158522014357,1369.94313099266,1395.2633056640625,43127,SIEMENS.BO,1377.6177978515625,1416.3490112304687,1452.7473571777343,41.4358013881661,-28.42080199836414,1369.943115234375,1357.037841796875,1371.8570556640625
2020-02-20,1378.873891872897,1403.3108979736437,1378.873891872897,1385.1549072265625,18138,SIEMENS.BO,1375.8512451171875,1406.510400390625,1444.6673095703125,40.012970579054816,-28.65319407980337,1395.2633056640625,1369.943115234375,1357.037841796875
2020-02-24,1403.3111264167526,1403.3111264167526,1342.8074801988505,1347.8126220703125,6081,SIEMENS.BO,1371.0423583984375,1393.3890014648437,1432.7152099609375,35.203798989440656,-31.487607271972593,1385.1549072265625,1395.2633056640625,1369.943115234375
2020-02-25,1387.7066513044,1387.7066513044,1344.5248318861586,1356.4979248046875,7252,SIEMENS.BO,1370.934375,1384.3060913085938,1424.42578125,37.0974776782827,-32.656623574526066,1347.8126220703125,1385.1549072265625,1395.2633056640625
2020-02-26,1356.3018799725526,1370.7776055366592,1315.917035201417,1321.1185302734375,26857,SIEMENS.BO,1361.1694580078124,1369.6095703125,1416.9022521972656,32.881842573469044,-36.02265216648948,1356.4979248046875,1347.8126220703125,1385.1549072265625
2020-02-27,1308.2126749311144,1339.2250444652757,1294.6692399786602,1327.251953125,61905,SIEMENS.BO,1347.5671875,1362.5924926757812,1408.618212890625,34.27621375614298,-37.76006360318502,1321.1185302734375,1356.4979248046875,1347.8126220703125
2020-02-28,1310.1756141473916,1319.9896636915669,1263.019058167466,1278.2308349609375,16117,SIEMENS.BO,1326.182373046875,1351.0168090820312,1398.7744689941405,29.076844754586176,-42.60148582333386,1327.251953125,1321.1185302734375,1356.4979248046875
2020-03-02,1304.2381177012155,1329.7056491532123,1272.489690133512,1285.9840087890625,17617,SIEMENS.BO,1313.816650390625,1342.4295043945312,1389.7897094726563,30.86312074743431,-45.290649071368534,1278.2308349609375,1327.251953125,1321.1185302734375
2020-03-03,1288.8793741085867,1335.8885828631007,1277.8385666619868,1330.7362060546875,13375,SIEMENS.BO,1308.664306640625,1339.7993408203124,1385.8346557617188,40.221954823651714,-43.31143475081717,1285.9840087890625,1278.2308349609375,1327.251953125
2020-03-04,1337.4095285566516,1337.4095285566516,1286.327355550177,1308.5072021484375,30346,SIEMENS.BO,1306.142041015625,1333.6557495117188,1378.743994140625,37.506113680481924,-43.04044452922244,1330.7362060546875,1285.9840087890625,1278.2308349609375
2020-03-05,1322.0996713175878,1328.380686810229,1296.4359085174378,1311.156982421875,9296,SIEMENS.BO,1302.923046875,1325.2451171875,1370.7970642089845,38.043151722139065,-42.12626237334848,1308.5072021484375,1330.7362060546875,1285.9840087890625
2020-03-06,1292.7066234367326,1317.0455154577576,1271.4101827686477,1314.24853515625,8563,SIEMENS.BO,1310.1265869140625,1318.1544799804688,1362.3324401855468,38.70497829472607,-40.6833318351114,1311.156982421875,1308.5072021484375,1330.7362060546875
2020-03-09,1290.989198312938,1294.2770010025497,1246.3843876362037,1262.7738037109375,13009,SIEMENS.BO,1305.4845458984375,1309.6505981445312,1351.5197998046874,32.48318471176536,-43.19544937104638,1314.24853515625,1311.156982421875,1308.5072021484375
2020-03-11,1262.0869017915772,1269.9872604111413,1237.55177539594,1261.20361328125,9075,SIEMENS.BO,1291.57802734375,1300.1211669921875,1342.2136291503907,32.312551743290484,-44.79663414862216,1262.7738037109375,1314.24853515625,1311.156982421875
2020-03-12,1256.0021929458703,1256.0021929458703,1130.235115629759,1160.16796875,24800,SIEMENS.BO,1261.9101806640624,1284.0261108398438,1326.8178405761719,23.68940945084279,-53.600444188832626,1261.20361328125,1262.7738037109375,1314.24853515625
2020-03-13,1128.6158151615691,1209.827083600369,1010.847208362101,1189.806396484375,44144,SIEMENS.BO,1237.6400634765625,1270.2815551757812,1316.4370239257812,29.62265603274038,-57.5228658633057,1160.16796875,1261.20361328125,1262.7738037109375
2020-03-16,1274.8452198881018,1274.8452198881018,1118.6055765025098,1127.19287109375,19960,SIEMENS.BO,1200.2289306640625,1255.1777587890624,1303.0972839355468,25.17026717097498,-64.93526816519852,1189.806396484375,1160.16796875,1261.20361328125
2020-03-17,1133.5226405644066,1184.702929204516,1105.8470707668905,1117.7220458984375,53455,SIEMENS.BO,1171.2185791015625,1238.3515625,1290.3905334472656,24.56873854753863,-70.75821023308617,1127.19287109375,1189.806396484375,1160.16796875
2020-03-18,1153.150983160051,1153.150983160051,1064.8245248754515,1094.95361328125,14861,SIEMENS.BO,1137.9685791015625,1214.7733032226563,1277.2863220214845,23.137180681098542,-76.33026818470421,1117.7220458984375,1127.19287109375,1189.806396484375
2020-03-19,1062.4200260147045,1134.6514097381075,1022.8202385978962,1096.4747314453125,41982,SIEMENS.BO,1125.229931640625,1193.5700561523438,1263.6129028320313,23.458058740662167,-79.70463728830077,1094.95361328125,1117.7220458984375,1127.19287109375
2020-03-20,1099.909676843945,1155.7025283053008,1065.2170333256136,1147.115234375,28508,SIEMENS.BO,1116.69169921875,1177.1658813476563,1251.205499267578,33.422858943192196,-77.40036057121984,1096.4747314453125,1094.95361328125,1117.7220458984375
2020-03-23,1032.4380471005156,1169.736628845163,929.3905233880116,966.7329711914062,29636,SIEMENS.BO,1084.5997192382813,1142.414324951172,1230.2844024658202,22.290803666111273,-89.1024284619848,1147.115234375,1096.4747314453125,1094.95361328125
2020-03-24,1009.8657936547004,1048.2387070434004,976.1054360680646,1001.4747924804688,35808,SIEMENS.BO,1061.3502685546875,1116.284423828125,1212.967510986328,27.312332110474628,-94.48387564152517,966.7329711914062,1147.115234375,1096.4747314453125
2020-03-25,1001.47478760391,1045.637954616409,992.2004979721992,1033.4686279296875,22679,SIEMENS.BO,1049.053271484375,1093.5109252929688,1196.8160461425782,31.690032134617965,-95.07115506952937,1001.4747924804688,966.7329711914062,1147.115234375
2020-03-26,1066.541921448066,1116.8389294758676,1056.77698927308,1071.350830078125,20666,SIEMENS.BO,1044.0284912109375,1084.6292114257812,1184.3276611328124,36.56183253214305,-91.42590026117227,1033.4686279296875,1001.4747924804688,966.7329711914062
2020-03-27,1135.4856892435944,1143.3369299643798,1013.1045224285216,1024.5869140625,20315,SIEMENS.BO,1019.5228271484375,1068.1072631835937,1169.1944091796875,33.39551884214792,-91.25849563181237,1071.350830078125,1033.4686279296875,1001.4747924804688
2020-03-30,976.4979645347198,1075.6689866420547,976.4979645347198,1060.6534423828125,17150,SIEMENS.BO,1038.3069213867188,1061.4533203125,1158.3155395507813,37.86483993071555,-87.21025332819409,1024.5869140625,1071.350830078125,1033.4686279296875
2020-03-31,1074.6385574585393,1121.696882899225,1068.848243554157,1090.880859375,11345,SIEMENS.BO,1056.188134765625,1058.7692016601563,1148.5603820800782,41.413135148480706,-80.63340055728509,1060.6534423828125,1024.5869140625,1071.350830078125
2020-04-01,1133.5227117264997,1133.5227117264997,1045.3435013587666,1066.5909423828125,9005,SIEMENS.BO,1062.81259765625,1055.9329345703125,1135.3531188964844,39.46292559365934,-76.49935372410027,1090.880859375,1060.6534423828125,1024.5869140625
2020-04-03,1064.8243590873144,1069.2406813139437,1024.4395218770549,1032.04541015625,9038,SIEMENS.BO,1054.951513671875,1049.4900024414062,1121.530029296875,36.80809364064287,-75.14440958826412,1066.5909423828125,1090.880859375,1060.6534423828125
2020-04-07,1068.750088444452,1100.1550497210565,1052.0662027662556,1094.119384765625,10699,SIEMENS.BO,1068.8580078125,1044.1904174804688,1110.6781494140625,44.08695209287339,-68.27472706755066,1032.04541015625,1066.5909423828125,1090.880859375
2020-04-08,1131.5598981632727,1152.7092225842323,1074.04959252026,1085.531982421875,19608,SIEMENS.BO,1073.8337158203126,1056.0703186035157,1099.2423217773437,43.34314691537577,-62.79947254948365,1094.119384765625,1032.04541015625,1066.5909423828125
2020-04-09,1087.396736297476,1157.9597795172958,1087.396736297476,1133.96435546875,22480,SIEMENS.BO,1082.4504150390626,1069.3192749023438,1092.8018493652344,48.60928675961928,-53.93052859512795,1085.531982421875,1094.119384765625,1032.04541015625
