Date,Open,High,Low,Close,Volume,MA_5,MA_10,MA_20,RSI,MACD,Close_Lag1,Close_Lag2,Close_Lag3
2022-06-20,465.0,479.6499938964844,456.3500061035156,469.25,1917909.0,485.4199951171875,499.9600006103516,514.5725021362305,31.71664877270443,-13.890992089249664,466.5499877929688,492.5499877929688,498.5499877929688
2022-06-21,464.0,530.0,457.0,513.6500244140625,569427.0,488.10999755859376,500.19500427246095,513.4375045776367,49.933336354993195,-11.723874086535943,469.25,466.5499877929688,492.5499877929688
2022-06-22,515.0999755859375,517.0,498.1000061035156,504.0,279721.0,489.2,498.85500183105466,513.1025039672852,46.998598100638844,-10.66218672614093,513.6500244140625,469.25,466.5499877929688
2022-06-23,505.0,514.0,487.2000122070313,500.7000122070313,628786.0,490.8300048828125,496.7250030517579,513.1475051879883,46.00288894898308,-9.972120877679231,504.0,513.6500244140625,469.25
2022-06-24,509.8999938964844,514.0,488.6499938964844,492.1000061035156,818374.0,495.94000854492185,493.9950012207032,510.6750061035156,43.4211067988348,-10.003868966171467,500.7000122070313,504.0,513.6500244140625
2022-06-27,500.0,506.2000122070313,488.8500061035156,491.3999938964844,315410.0,500.37000732421876,492.8950012207032,509.18250579833983,43.20853990994261,-9.970580049554712,492.1000061035156,500.7000122070313,504.0
2022-06-28,491.0,505.0,488.9500122070313,501.9500122070313,279123.0,498.0300048828125,493.0700012207032,507.7675064086914,47.38881706770021,-8.989277243391939,491.3999938964844,492.1000061035156,500.7000122070313
2022-06-29,490.1000061035156,507.9500122070313,490.1000061035156,504.75,212296.0,498.1800048828125,493.69000244140636,506.2225051879883,48.472858058941625,-7.894647503017495,501.9500122070313,491.3999938964844,492.1000061035156
2022-06-30,504.0,514.5,499.25,506.7999877929688,510348.0,499.4,495.1150024414063,503.04000396728514,49.296587611081705,-6.78353232689733,504.75,501.9500122070313,491.3999938964844
2022-07-01,504.0,505.0,495.0,500.9500122070313,80202.0,501.1700012207031,498.5550048828125,501.3050033569336,46.988118284605555,-6.30236000115832,506.7999877929688,504.75,501.9500122070313
2022-07-04,498.0,508.7999877929688,496.0499877929688,505.9500122070313,326557.0,504.0800048828126,502.2250061035156,501.0925033569336,49.17867193609448,-5.454690971007722,500.9500122070313,506.7999877929688,504.75
2022-07-05,510.0,512.2000122070312,504.8500061035156,507.5499877929688,269200.0,505.2000000000001,501.61500244140626,500.9050033569336,49.892204835804975,-4.600767712940183,505.9500122070313,500.9500122070313,506.7999877929688
2022-07-06,507.6000061035156,529.7999877929688,506.0499877929688,524.2999877929688,818454.0,509.1099975585938,503.64500122070314,501.25000152587893,56.73986231691832,-2.543126781828164,507.5499877929688,505.9500122070313,500.9500122070313
2022-07-07,528.5999755859375,615.0,523.0499877929688,595.2999877929688,3777107.0,526.8099975585938,513.1049987792969,504.91500091552734,73.35916479566929,4.76178422439159,524.2999877929688,507.5499877929688,505.9500122070313
2022-07-08,604.0,628.7000122070312,575.5,595.25,2776856.0,545.6699951171875,523.4199981689453,508.7074996948242,73.33780273785841,10.426752120715605,595.2999877929688,524.2999877929688,507.5499877929688
2022-07-11,593.0,607.9500122070312,584.8499755859375,590.9000244140625,506731.0,562.6599975585938,533.3700012207031,513.1325012207031,71.38961289269281,14.399287296214197,595.25,595.2999877929688,524.2999877929688
2022-07-12,588.0499877929688,621.0,586.25,616.25,1042265.0,584.4,544.8,518.9350006103516,75.47786016122097,19.369798237762666,590.9000244140625,595.25,595.2999877929688
