Date,Open,High,Low,Close,Volume,Stock,MA_5,MA_10,MA_20,RSI,MACD,Close_Lag1,Close_Lag2,Close_Lag3
2024-12-12,1752.0803343738914,1843.1482503447269,1751.684147217054,1781.3468017578125,1048206,HYUNDAI.NS,1810.58369140625,1835.9678466796875,1822.4487915039062,42.48015994425546,0.9263234825366453,1805.9090576171875,1815.862548828125,1809.1278076171875
2024-12-13,1782.7334849613785,1791.349981778951,1743.11718529557,1755.0020751953125,569711,HYUNDAI.NS,1793.449658203125,1821.6515014648437,1824.0359252929688,38.752927811377496,-4.626605554056368,1781.3468017578125,1805.9090576171875,1815.862548828125
2024-12-16,1755.0020296019495,1806.602234396268,1749.3071866729365,1799.966552734375,545726,HYUNDAI.NS,1791.6174072265626,1815.3624145507813,1826.59365234375,47.25866494525736,-5.337556242811388,1755.0020751953125,1781.3468017578125,1805.9090576171875
2024-12-17,1799.9665873998792,1813.4361050158668,1784.76385668516,1806.7508544921875,312411,HYUNDAI.NS,1789.795068359375,1812.891357421875,1831.270849609375,48.422541319156736,-5.292544177904574,1799.966552734375,1755.0020751953125,1781.3468017578125
2024-12-18,1803.036736411389,1805.4631862687384,1772.8293096272378,1778.6231689453125,324766,HYUNDAI.NS,1784.337890625,1805.32958984375,1829.5896240234374,44.07939115307512,-7.440768396569638,1806.7508544921875,1799.966552734375,1755.0020751953125
2024-12-19,1768.025968303224,1774.81023548108,1749.0596405466445,1770.3038330078125,430008,HYUNDAI.NS,1782.129296875,1796.356494140625,1827.7028930664062,42.85506049036769,-9.702705697984811,1778.6231689453125,1806.7508544921875,1799.966552734375
2024-12-20,1776.0481379127789,1790.6070788893392,1741.1362757287968,1749.257568359375,531540,HYUNDAI.NS,1780.9803955078125,1787.2150268554688,1824.5335876464844,39.84027436018611,-13.04321095511682,1770.3038330078125,1778.6231689453125,1806.7508544921875
2024-12-23,1762.4796394583157,1768.86771919983,1721.3281612370126,1735.7880859375,335306,HYUNDAI.NS,1768.1447021484375,1779.8810546875,1819.5444091796876,37.997913454630364,-16.586263974214717,1749.257568359375,1770.3038330078125,1778.6231689453125
2024-12-24,1745.1969729470657,1753.0212161141114,1732.5692777462436,1748.2672119140625,192311,HYUNDAI.NS,1756.4479736328126,1773.1215209960938,1813.8594665527344,40.73247152505643,-18.177657128093188,1735.7880859375,1749.257568359375,1770.3038330078125
2024-12-26,1748.2672290384114,1769.808591650812,1733.2130837563818,1760.7464599609375,257169,HYUNDAI.NS,1752.8726318359375,1768.6052612304688,1807.4391540527345,43.41987975664572,-18.22182676767079,1748.2672119140625,1735.7880859375,1749.257568359375
2024-12-27,1760.7464255905911,1787.9826306608174,1758.9636438080734,1774.9091796875,223552,HYUNDAI.NS,1753.793701171875,1767.9614990234375,1801.9646728515625,46.39085241328497,-16.918986857327354,1760.7464599609375,1748.2672119140625,1735.7880859375
2024-12-30,1764.3119432392211,1787.5369507355156,1758.9637185637175,1779.3660888671875,211968,HYUNDAI.NS,1759.8154052734376,1770.397900390625,1796.0247009277343,47.32816626261992,-15.349897456173267,1774.9091796875,1760.7464599609375,1748.2672119140625
2024-12-31,1777.7318349045156,1802.5415903178048,1769.4125088994513,1788.77490234375,231141,HYUNDAI.NS,1770.4127685546875,1769.2787353515625,1792.320574951172,49.34180519755212,-13.195065682709355,1779.3660888671875,1774.9091796875,1760.7464599609375
2025-01-01,1782.7333804365264,1787.6854176044058,1773.819713534344,1782.13916015625,130344,HYUNDAI.NS,1777.187158203125,1766.8175659179688,1789.8544616699219,47.94952452168043,-11.88578300697327,1788.77490234375,1779.3660888671875,1774.9091796875
2025-01-02,1774.1169694131083,1836.2154701239008,1774.1169694131083,1801.20458984375,624221,HYUNDAI.NS,1785.2787841796876,1769.0757080078124,1787.2026489257812,52.12903766847537,-9.203652240291376,1782.13916015625,1788.77490234375,1779.3660888671875
2025-01-03,1804.4728399954408,1816.80348552554,1794.6679027706757,1811.108642578125,246250,HYUNDAI.NS,1792.5186767578125,1773.1561889648438,1784.7563415527343,54.18701512383271,-6.207315925872308,1801.20458984375,1782.13916015625,1788.77490234375
2025-01-06,1793.6279259107798,1831.263409723375,1780.3564416496265,1783.8724365234375,395362,HYUNDAI.NS,1793.4199462890624,1776.61767578125,1781.9163513183594,48.067233410211394,-5.961709143429061,1811.108642578125,1801.20458984375,1782.13916015625
2025-01-07,1785.7542151163102,1831.164372875815,1785.7542151163102,1815.4168701171875,925887,HYUNDAI.NS,1798.74833984375,1784.5805541992188,1782.2308044433594,54.47946069211059,-3.1849773987835306,1783.8724365234375,1811.108642578125,1801.20458984375
2025-01-08,1802.5416502431533,1809.0288677287697,1782.7830689752293,1794.024169921875,289586,HYUNDAI.NS,1801.125341796875,1789.15625,1781.1388854980469,49.97304913615221,-2.6797194674331877,1815.4168701171875,1783.8724365234375,1811.108642578125
2025-01-09,1784.7142737795944,1789.814896466659,1749.059604603087,1768.422119140625,445286,HYUNDAI.NS,1794.56884765625,1789.9238159179688,1779.2645385742187,45.158742729200156,-4.295652837473199,1794.024169921875,1815.4168701171875,1783.8724365234375
2025-01-10,1763.915727369652,1781.743062065134,1757.3790621611786,1770.452392578125,543447,HYUNDAI.NS,1786.43759765625,1789.4781372070313,1778.7198181152344,45.60626149267491,-5.350785057305075,1768.422119140625,1794.024169921875,1815.4168701171875
2025-01-13,1751.4365295290766,1765.5002667246197,1730.3903715678289,1750.0003662109375,433775,HYUNDAI.NS,1779.66318359375,1786.5415649414062,1778.4697326660157,41.89726820087074,-7.747978671281544,1770.452392578125,1768.422119140625,1794.024169921875
2025-01-14,1750.0004388905727,1789.666306608175,1747.1778017678232,1764.9556884765625,330495,HYUNDAI.NS,1769.570947265625,1784.1596435546876,1776.719189453125,45.39440660931278,-8.344808602110561,1750.0003662109375,1770.452392578125,1768.422119140625
2025-01-15,1772.8293702463625,1800.560779389881,1758.9636656746031,1778.276611328125,569286,HYUNDAI.NS,1766.421435546875,1783.773388671875,1775.295477294922,48.374979367853285,-7.654675145489136,1764.9556884765625,1750.0003662109375,1770.452392578125
2025-01-16,1774.7606609338804,1807.3946604085208,1773.8198221740986,1799.66943359375,542776,HYUNDAI.NS,1772.6708984375,1783.619873046875,1776.3477905273437,52.82809961963025,-5.3201896053453765,1778.276611328125,1764.9556884765625,1750.0003662109375
2025-01-17,1748.069192327917,1797.589566048255,1721.3281905189351,1771.93798828125,2441970,HYUNDAI.NS,1772.968017578125,1779.7028076171875,1776.4294982910155,47.15032696764744,-5.642742844060649,1799.66943359375,1778.276611328125,1764.9556884765625
2025-01-20,1772.0369347581316,1778.078516832525,1744.1570621758146,1765.3516845703125,993234,HYUNDAI.NS,1776.03828125,1777.850732421875,1777.2342041015625,45.888864725488794,-6.3565538787522655,1771.93798828125,1799.66943359375,1778.276611328125
2025-01-21,1767.4811248160495,1783.87241660058,1721.4271780334034,1728.8057861328125,1036378,HYUNDAI.NS,1768.80830078125,1769.1896240234375,1776.8850891113282,39.563747966699175,-9.75871050346791,1765.3516845703125,1771.93798828125,1799.66943359375
2025-01-22,1742.1267226791942,1742.1267226791942,1668.687985317595,1686.168701171875,1321964,HYUNDAI.NS,1750.38671875,1758.4040771484374,1773.7801635742187,33.72354432184383,-15.714256397169265,1728.8057861328125,1765.3516845703125,1771.93798828125
2025-01-23,1690.625572810887,1698.5488326717464,1671.956415943607,1688.7437744140625,937567,HYUNDAI.NS,1728.2015869140625,1750.4362426757812,1770.180029296875,34.3538145948892,-19.995783589186203,1686.168701171875,1728.8057861328125,1765.3516845703125
2025-01-24,1689.7341479618146,1693.9433796783624,1669.034607811157,1688.94189453125,548666,HYUNDAI.NS,1711.6023681640625,1742.2851928710938,1765.8816650390625,34.40549889688569,-23.106579828977146,1688.7437744140625,1686.168701171875,1728.8057861328125
2025-01-27,1678.7406832966967,1678.7406832966967,1620.3066418132128,1627.9822998046875,1538942,HYUNDAI.NS,1684.1284912109375,1730.0833862304687,1758.3124755859376,27.286808805755427,-30.14336415652815,1688.94189453125,1688.7437744140625,1686.168701171875
2025-01-28,1635.657888560868,1651.9500426030834,1599.557585701688,1608.81787109375,1291382,HYUNDAI.NS,1660.130908203125,1714.4696044921875,1749.3146240234375,25.500488954721675,-36.84178648517968,1627.9822998046875,1688.94189453125,1688.7437744140625
2025-01-29,1604.4105348847388,1645.413428379292,1595.1998179406153,1633.6771240234375,676152,HYUNDAI.NS,1649.6325927734374,1700.0096557617187,1741.8915222167968,31.7426211579846,-39.6869144407558,1608.81787109375,1627.9822998046875,1688.94189453125
2025-01-30,1639.1243645118873,1639.1243645118873,1599.5080656717207,1606.44091796875,341982,HYUNDAI.NS,1633.172021484375,1680.6868041992188,1732.153338623047,28.886852724792163,-43.63641956768356,1633.6771240234375,1608.81787109375,1627.9822998046875
2025-01-31,1622.287465371996,1670.1241954029622,1614.710823908795,1661.4581298828125,638701,HYUNDAI.NS,1627.6752685546876,1669.638818359375,1724.6708129882813,40.526511894439516,-41.844642639024414,1606.44091796875,1633.6771240234375,1608.81787109375
2025-02-01,1675.7694236819411,1812.2476201406,1651.0588058945975,1733.65869140625,981974,HYUNDAI.NS,1648.810546875,1666.4695190429688,1722.1601257324219,51.699486094283934,-34.204377828216366,1661.4581298828125,1606.44091796875,1633.6771240234375
2025-02-03,1734.0548654688814,1794.519288853926,1724.5965468292652,1782.6343994140625,3536130,HYUNDAI.NS,1683.5738525390625,1671.8523803710937,1720.5210021972657,57.52817810479182,-23.921727803988915,1733.65869140625,1661.4581298828125,1606.44091796875
2025-02-04,1783.7734235627354,1832.2538208964447,1783.7734235627354,1827.1531982421875,1154361,HYUNDAI.NS,1722.2690673828124,1685.950830078125,1722.1774536132812,62.01537011403236,-12.041551065909516,1782.6343994140625,1733.65869140625,1661.4581298828125
2025-02-05,1822.349741675787,1829.2825939539011,1784.2686228793125,1823.686767578125,673537,HYUNDAI.NS,1765.7182373046876,1699.4451293945312,1724.9406860351562,61.47078435499767,-2.873019018496734,1827.1531982421875,1782.6343994140625,1733.65869140625
2025-02-06,1812.4456468038693,1817.0014969274412,1773.869324702947,1808.4344482421875,867707,HYUNDAI.NS,1795.1135009765626,1711.394384765625,1726.8397888183595,59.015123888864856,3.1263355333726395,1823.686767578125,1827.1531982421875,1782.6343994140625
