Date,Open,High,Low,Close,Volume,Stock,MA_5,MA_10,MA_20,RSI,MACD,Close_Lag1,Close_Lag2,Close_Lag3
2022-03-16,350.0,351.95001220703125,342.1000061035156,346.25,4512997,AWL.NS,343.0400024414063,348.0249969482422,350.95249633789064,53.60026598514315,7.5236535995259715,340.25,341.1000061035156,344.20001220703125
2022-03-17,350.0,380.8500061035156,348.1000061035156,379.7999877929688,31782591,AWL.NS,350.32000122070315,347.9799957275391,351.0899963378906,64.32504516909498,9.620717170420903,346.25,340.25,341.1000061035156
2022-03-21,390.0,398.75,382.2999877929688,391.25,19955446,AWL.NS,359.72999877929686,351.0249969482422,352.66249694824216,67.11838796771062,12.067469179284956,379.7999877929688,346.25,340.25
2022-03-22,394.4500122070313,397.7000122070313,387.0,393.1000061035156,9561082,AWL.NS,370.1299987792969,356.2549987792969,354.60249786376954,67.56035391194334,13.994497944581042,391.25,379.7999877929688,346.25
2022-03-23,393.7999877929688,419.2999877929688,390.1499938964844,397.25,30739072,AWL.NS,381.5299987792969,361.7,358.0849975585937,68.58057186459496,15.675850502357832,393.1000061035156,391.25,379.7999877929688
2022-03-24,397.0,414.7000122070313,395.0499877929688,407.1000061035156,11671061,AWL.NS,393.7,368.3700012207031,362.7249984741211,70.91838153837315,17.6002628165391,397.25,393.1000061035156,391.25
2022-03-25,414.0,423.8999938964844,410.0,419.25,17327956,AWL.NS,401.5900024414062,375.9550018310547,366.4349990844727,73.53426876152406,19.876650748833242,407.1000061035156,397.25,393.1000061035156
2022-03-28,424.8999938964844,461.1499938964844,424.0499877929688,461.0,29209300,AWL.NS,415.5400024414063,387.63500061035154,372.8374984741211,80.14369754161909,24.76411535961836,419.25,407.1000061035156,397.25
2022-03-29,474.3999938964844,507.0,474.0,499.9500122070313,37794382,AWL.NS,436.9100036621094,403.52000122070314,379.5299987792969,84.12649824625923,31.418236864815754,461.0,419.25,407.1000061035156
2022-03-30,508.7000122070313,514.0,480.1499938964844,492.2999877929688,25219865,AWL.NS,455.9200012207031,418.725,385.17749786376953,80.70262435822109,35.66327898127241,499.9500122070313,461.0,419.25
2022-03-31,493.2999877929688,516.9000244140625,493.0,516.9000244140625,17742646,AWL.NS,477.8800048828125,435.7900024414063,391.9074996948242,83.08646370395616,40.54514362939523,492.2999877929688,499.9500122070313,461.0
2022-04-01,526.0,542.7000122070312,521.0,542.7000122070312,18150045,AWL.NS,502.57000732421875,452.0800048828125,400.0300003051758,85.15735985616688,45.9660321248918,516.9000244140625,492.2999877929688,499.9500122070313
2022-04-04,560.0,569.7999877929688,522.75,552.3499755859375,31396534,AWL.NS,520.8400024414062,468.19000244140625,409.60749969482424,85.85497893303304,50.4591352085709,542.7000122070312,516.9000244140625,492.2999877929688
2022-04-05,559.9500122070312,579.9500122070312,553.5,579.9500122070312,14412302,AWL.NS,536.8400024414062,486.8750030517578,421.5650009155273,87.64377803326822,55.606052110474366,552.3499755859375,542.7000122070312,516.9000244140625
2022-04-06,596.4000244140625,608.9000244140625,590.0,608.9000244140625,9965188,AWL.NS,560.160009765625,508.0400054931641,434.87000274658203,89.18824287531473,61.314252342321765,579.9500122070312,552.3499755859375,542.7000122070312
2022-04-07,639.2999877929688,639.2999877929688,578.5,578.5,10867407,AWL.NS,572.4800048828125,525.1800048828125,446.77500305175784,78.14262118441162,62.662677900142285,608.9000244140625,579.9500122070312,552.3499755859375
2022-04-08,549.5999755859375,549.5999755859375,549.5999755859375,549.5999755859375,2282751,AWL.NS,573.8599975585937,538.2150024414062,457.08500213623046,69.34964746423285,60.69961702608623,578.5,608.9000244140625,579.9500122070312
2022-04-11,550.0999755859375,577.0499877929688,550.0999755859375,577.0499877929688,5734232,AWL.NS,578.8,549.8200012207031,468.72750091552734,72.51336950492433,60.65961740593559,549.5999755859375,578.5,608.9000244140625
2022-04-12,603.5,605.9000244140625,572.0,605.9000244140625,22706296,AWL.NS,583.9900024414062,560.4150024414063,481.9675018310547,75.38868897469905,62.23842840372896,577.0499877929688,549.5999755859375,578.5
2022-04-13,622.9000244140625,636.1500244140625,606.0999755859375,636.1500244140625,16821307,AWL.NS,589.4400024414062,574.8000061035157,496.7625030517578,77.98869356349135,65.17922416093188,605.9000244140625,577.0499877929688,549.5999755859375
2022-04-18,637.0,667.9500122070312,622.5999755859375,667.9500122070312,19453143,AWL.NS,607.3300048828125,589.9050048828125,512.8475036621094,80.33999953609242,69.27723440249952,636.1500244140625,605.9000244140625,577.0499877929688
2022-04-19,690.5499877929688,701.2999877929688,651.5499877929688,677.9000244140625,25254020,AWL.NS,632.9900146484375,603.4250061035157,527.7525054931641,81.02307777242629,72.49217520198079,667.9500122070312,636.1500244140625,605.9000244140625
2022-04-20,703.4000244140625,709.0,655.0,667.9000244140625,23058972,AWL.NS,651.1600219726563,614.9800109863281,541.5850067138672,78.08661440038725,73.3871610112385,677.9000244140625,667.9500122070312,636.1500244140625
2022-04-21,679.0,701.25,667.25,699.7000122070312,17843608,AWL.NS,669.92001953125,626.9550109863281,556.915007019043,80.50611576268123,75.78879095911316,667.9000244140625,677.9000244140625,667.9500122070312
2022-04-22,706.25,732.0,706.25,728.5499877929688,19690115,AWL.NS,688.4000122070313,638.9200073242188,573.4800064086915,82.40425169755395,79.10814249254713,699.7000122070312,667.9000244140625,677.9000244140625
