Date,Close,High,Low,Open,Volume,Ticker
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2015-01-01,1073.5103759765625,1082.5562578902964,1071.5915275805387,1082.5562578902964,366830,TCS.NS
2015-01-02,1087.806640625,1092.6564251154896,1075.640069135176,1075.808716107735,925740,TCS.NS
2015-01-05,1071.275390625,1096.4309746950892,1064.6965103138152,1088.4604992434308,1754242,TCS.NS
2015-01-06,1031.78125,1066.5731856361278,1028.997853965474,1066.5731856361278,2423784,TCS.NS
2015-01-07,1019.5933227539062,1045.508019020508,1015.2706889410703,1041.6493188004847,2636332,TCS.NS
2015-01-08,1030.5999755859375,1032.7929003112447,1020.7949796969067,1030.0095054559015,1565408,TCS.NS
2015-01-09,1059.488525390625,1062.693539695429,1033.2153153512975,1035.323918035688,3197642,TCS.NS
2015-01-12,1058.391357421875,1066.1088590742306,1045.9717158698024,1061.4699360323727,1596006,TCS.NS
2015-01-13,1053.4154052734375,1067.1213190449475,1045.9088640981577,1062.7354678216993,1468432,TCS.NS
2015-01-14,1063.5574951171875,1067.7114812758236,1054.5116152304179,1061.0482799119102,1787096,TCS.NS
2015-01-15,1070.790283203125,1088.776616649138,1064.1059738394258,1068.2177476410445,5009920,TCS.NS
2015-01-16,1067.8590087890625,1073.2781557887502,1047.67975435448,1072.7298988108778,5293830,TCS.NS
2015-01-19,1058.9400634765625,1075.8088816920394,1055.5662998334672,1069.4830748612355,1135074,TCS.NS
2015-01-20,1054.4906005859375,1066.9524571895897,1047.237031350217,1062.7352538014886,2058566,TCS.NS
2015-01-21,1060.12060546875,1063.5786916459679,1049.3456302490404,1063.5786916459679,2310480,TCS.NS
2015-01-22,1060.01513671875,1063.2623626086774,1052.4030643093522,1061.259191077734,2113214,TCS.NS
2015-01-23,1055.8189697265625,1067.8168915045574,1052.6560675201108,1060.2048196025528,3150380,TCS.NS
2015-01-27,1057.27685546875,1062.7490416306082,1051.994802577942,1061.6292876837952,2738736,TCS.NS
2015-01-28,1073.1446533203125,1075.384162237201,1057.6364564149146,1057.6787541234057,3121980,TCS.NS
2015-01-29,1075.2779541015625,1085.44064378085,1061.8615407036802,1072.4679434275688,3734392,TCS.NS
2015-01-30,1048.82568359375,1088.103012479151,1043.733763426603,1082.0603226894493,5817402,TCS.NS
2015-02-02,1062.4110107421875,1065.4746015374585,1040.3743264946575,1048.8044626017281,3181802,TCS.NS
2015-02-03,1081.02490234375,1083.877210793206,1059.4107840261327,1061.3333686711,2345054,TCS.NS
2015-02-04,1062.4534912109375,1086.7086419311977,1057.2982271360697,1085.1451745790412,2245418,TCS.NS
2015-02-05,1078.5531005859375,1095.1598985558915,1064.4394939371361,1064.862058245964,4530168,TCS.NS
2015-02-06,1088.4200439453125,1096.4699148499687,1077.8982336752094,1078.8067056944126,2136416,TCS.NS
2015-02-09,1061.8619384765625,1085.6101380294508,1056.410899501187,1082.3986076289164,2076432,TCS.NS
2015-02-10,1031.5423583984375,1067.5026062111522,1028.0985020927196,1060.6359392736238,3799054,TCS.NS
2015-02-11,1039.4656982421875,1051.0228710890008,1034.1203020494752,1037.4163236452016,2937522,TCS.NS
2015-02-12,1040.4168701171875,1047.875193489336,1034.0150608836955,1047.875193489336,3107980,TCS.NS
2015-02-13,1072.7850341796875,1076.5881125874146,1039.6137391789566,1043.7337407873276,4158326,TCS.NS
2015-02-16,1092.244140625,1096.554275525838,1079.651704804823,1081.76452614495,2364392,TCS.NS
2015-02-18,1113.7314453125,1116.8373338747874,1083.9829628158525,1092.349755757129,2660014,TCS.NS
2015-02-19,1132.915771484375,1135.5567977400663,1113.4566693994243,1113.879233600335,2618002,TCS.NS
2015-02-20,1130.591796875,1140.416415662773,1116.5203867523956,1140.416415662773,1801588,TCS.NS
2015-02-23,1139.5076904296875,1150.2197339943098,1128.668960139163,1128.668960139163,1614892,TCS.NS
2015-02-24,1142.930908203125,1153.6006578776341,1132.0498763568432,1138.388341510017,2199922,TCS.NS
2015-02-25,1129.1761474609375,1150.2198673571409,1127.3380549062847,1145.1490964503496,1767994,TCS.NS
2015-02-26,1122.521240234375,1137.860349413955,1109.379548585313,1132.0500886008674,1991994,TCS.NS
2015-02-27,1125.01416015625,1130.676480785945,1105.5550525606207,1123.788661727504,2877376,TCS.NS
2015-03-02,1127.9931640625,1144.7056036925806,1120.8730171094744,1132.345597228259,2176038,TCS.NS
2015-03-03,1173.03857421875,1178.9544748091905,1130.845484813026,1133.3175273972217,3424308,TCS.NS
2015-03-04,1160.3614501953125,1188.2929888604465,1147.5365837240904,1178.1091489965518,3862994,TCS.NS
2015-03-05,1139.4234619140625,1170.7988605230191,1132.9160130982489,1162.051800331726,2173514,TCS.NS
2015-03-09,1118.443359375,1132.3879831389734,1102.8929704233617,1115.569901117883,2883174,TCS.NS
2015-03-10,1116.7103271484375,1131.7325042364548,1096.6596776326553,1119.3302044063073,3037052,TCS.NS
